moniker,centralised_exchange_wallet,remarks,val_address,acc_address,prop_69_vote,tokens,shares,ts_ratio,height
CoinoneNode,yes,Republic of Korea,cosmosvaloper1te8nxpc2myjfrhaty0dnzdhs5ahdh5agzuym9v,cosmos1te8nxpc2myjfrhaty0dnzdhs5ahdh5ag8gswfl,VOTE_NIL,1724913519629,1724913519629,1,10562840
Huobi,yes,,cosmosvaloper1kn3wugetjuy4zetlq6wadchfhvu3x740ae6z6x,cosmos1kn3wugetjuy4zetlq6wadchfhvu3x740cdwhk4,VOTE_NIL,1703829834038,1703829834038,1,10562840
iqlusion,,Zaki Manian,cosmosvaloper1grgelyng2v6v3t8z87wu3sxgt9m5s03xfytvz7,cosmos1grgelyng2v6v3t8z87wu3sxgt9m5s03xvslewd,VOTE_OPTION_YES,1676711293730,1677214407327,0.9997000302,10562840
NO! Fee to 2025 💸 | melea.xyz,,,cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,cosmos1zqgheeawp7cmqk27dgyctd80rd8ryhqsltfszt,VOTE_NIL,1619392838316,1619392838316,1,10562840
Blockpower,,,cosmosvaloper1rpgtz9pskr5geavkjz02caqmeep7cwwpv73axj,cosmos1rpgtz9pskr5geavkjz02caqmeep7cwwpf29g2p,VOTE_OPTION_NO,1578792499946,1579424173802,0.9996000607,10562840
ChainLayer,,,cosmosvaloper1kgddca7qj96z0qcxr2c45z73cfl0c75p7f3s2e,cosmos1kgddca7qj96z0qcxr2c45z73cfl0c75pma99x2,VOTE_OPTION_ABSTAIN,1462763211565,1462909502317,0.9999000001,10562840
Staking Facilities,,,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,cosmos1x88j7vp2xnw3zec8ur3g4waxycyz7m0mcreeaj,VOTE_NIL,1402681745694,1402681745694,1,10562840
zugerselfdelegation,,100% commission,cosmosvaloper1gdg6qqe5a3u483unqlqsnullja23g0xvqkxtk0,cosmos1gdg6qqe5a3u483unqlqsnullja23g0xv9zj76u,VOTE_NIL,1394007762107,1394007762107,1,10562840
Figment,,,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,cosmos1hjct6q7npsspsg3dgvzk3sdf89spmlpfg8wwf7,VOTE_OPTION_YES,1286459792013,1286459792013,1,10562840
KalpaTech,,,cosmosvaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetgucudztfe,cosmos1ehkfl7palwrh6w2hhr2yfrgrq8jetguceek792,VOTE_OPTION_NO,1266977118602,1266977118602,1,10562840
ShapeShift DAO,,,cosmosvaloper199mlc7fr6ll5t54w7tts7f4s0cvnqgc59nmuxf,cosmos199mlc7fr6ll5t54w7tts7f4s0cvnqgc5q80f26,VOTE_NIL,1243990290431,1243990290431,1,10562840
Staked,,,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,cosmos1we6knm8qartmmh2r0qfpsz6pq0s7emv3um0vsa,VOTE_NIL,1162686262310,1162686262310,1,10562840
IRISnet-Bianjie,,,cosmosvaloper1ssm0d433seakyak8kcf93yefhknjleeds4y3em,cosmos1ssm0d433seakyak8kcf93yefhknjleed4psy4g,VOTE_OPTION_ABSTAIN,1101919753982,1101919753982,1,10562840
Swiss Staking,,,cosmosvaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2ztve7q,cosmos1y0us8xvsvfvqkk9c6nt5cfyu5au5tww28lcvjn,VOTE_OPTION_NO,1099287225620,1099287225620,1,10562840
Post Road,,,cosmosvaloper19rmlxkqjt950fxl849l49x0me56u9tkd5n5j62,cosmos19rmlxkqjt950fxl849l49x0me56u9tkd38q8ke,VOTE_NIL,1005898996612,1005898996612,1,10562840
DACM,,Investment Manager,cosmosvaloper16fnz0v4cnv5dpnj0p3gaft2q2kzx8z5hfrx6v5,cosmos16fnz0v4cnv5dpnj0p3gaft2q2kzx8z5hvhj0q8,VOTE_NIL,995055077999,995154593229,0.9999000002,10562840
strangelove-ventures,,,cosmosvaloper130mdu9a0etmeuw52qfxk73pn0ga6gawkxsrlwf,cosmos130mdu9a0etmeuw52qfxk73pn0ga6gawkryh2z6,VOTE_OPTION_YES,880700855588,880788933694,0.9999000009,10562840
