moniker,centralised_exchange_wallet,remarks,val_address,acc_address,prop_69_vote,tokens,shares,ts_ratio,height
Huobi-1,yes,,cosmosvaloper12w6tynmjzq4l8zdla3v4x0jt8lt4rcz5gk7zg2,cosmos12w6tynmjzq4l8zdla3v4x0jt8lt4rcz5dz2hye,VOTE_NIL,168191729161,168208549832,0.9999000011,10562840
Stir,,,cosmosvaloper1d0aup392g3enru7eash83sedqclaxvp7fzh6gk,cosmos1d0aup392g3enru7eash83sedqclaxvp7vkr0y9,VOTE_OPTION_NO,167777319168,167794098342,0.9999000014,10562840
StakeLab,,,cosmosvaloper1gpx52r9h3zeul45amvcy2pysgvcwddxrgx6cnv,cosmos1gpx52r9h3zeul45amvcy2pysgvcwddxrdjwdll,VOTE_NIL,167563205433,167563205433,1,10562840
KIRA Staking,,,cosmosvaloper16qme5yxucnaj6snx35nmwze0wyxr8wfgqxsqfw,cosmos16qme5yxucnaj6snx35nmwze0wyxr8wfg9jy49a,VOTE_NIL,160443871276,160443871276,1,10562840
WhisperNode🤐,,,cosmosvaloper19ecn7ljwp6el2pc5lldyauwv05ufwut9mm38r5,cosmos19ecn7ljwp6el2pc5lldyauwv05ufwut9709j08,VOTE_OPTION_NO,155851514250,155851514250,1,10562840
NEOPLY,,100% commission,cosmosvaloper142w8q2l0gxsfna72gq8t7e4ee4ul37e9htgtxx,cosmos142w8q2l0gxsfna72gq8t7e4ee4ul37e9jlu724,VOTE_NIL,150223965594,150223965594,1,10562840
Stargaze,,,cosmosvaloper1et77usu8q2hargvyusl4qzryev8x8t9wwqkxfs,cosmos1et77usu8q2hargvyusl4qzryev8x8t9wt5zn9r,VOTE_NIL,140947762106,140961857776,0.9999000037,10562840
cros-nest,,,cosmosvaloper1fsg635n5vgc7jazz9sx5725wnc3xqgr7awxaag,cosmos1fsg635n5vgc7jazz9sx5725wnc3xqgr7c6jg3m,VOTE_NIL,137820774466,137820774466,1,10562840
Golden Ratio Staking,,,cosmosvaloper1nuhls0wyf8slhmuasha5pz0u89jrf9nnugq8ak,cosmos1nuhls0wyf8slhmuasha5pz0u89jrf9nneu5j39,VOTE_OPTION_YES,131287306099,131287306099,1,10562840
Moonstake,,,cosmosvaloper125umsz3fws7gepn5ccsh0sv4gre9r6a3tccz4r,cosmos125umsz3fws7gepn5ccsh0sv4gre9r6a3wvvhes,VOTE_NIL,131171029535,131223509415,0.9996000726,10562840
jabbey,,,cosmosvaloper1xwazl8ftks4gn00y5x3c47auquc62ssuqlj02r,cosmos1xwazl8ftks4gn00y5x3c47auquc62ssu9tx6xs,VOTE_OPTION_YES,129421497599,129421497599,1,10562840
Lightning Capital,,investment firm https://www.lightning.capital/,cosmosvaloper1ha8d55747h8hsaluvz8ld88n24nfaw68rx4x92,cosmos1ha8d55747h8hsaluvz8ld88n24nfaw68xjpnfe,VOTE_NIL,128503351964,128503351964,1,10562840
Binary Holdings,,,cosmosvaloper1e4vye322gkjx8n85jgcclnc7nvdvu82axnr5ll,cosmos1e4vye322gkjx8n85jgcclnc7nvdvu82ar8hpnv,VOTE_OPTION_YES,126510324886,126510324886,1,10562840
MathWallet麦子钱包,,https://mathwallet.org/en-us/,cosmosvaloper1x065cjlgejk2p2la0029akfvdy52gtq9mm58ta,cosmos1x065cjlgejk2p2la0029akfvdy52gtq970qj8w,VOTE_NIL,122845388084,122869960731,0.9998000109,10562840
Cosmos Suisse,,,cosmosvaloper1p650epkdwj0jte6sjc3ep0n3wz6jc9ehh8jutg,cosmos1p650epkdwj0jte6sjc3ep0n3wz6jc9ehjnxf8m,VOTE_NIL,120193809337,120229874327,0.999700033,10562840
blockscape,,,cosmosvaloper13x77yexvf6qexfjg9czp6jhpv7vpjdwwkyhe4p,cosmos13x77yexvf6qexfjg9czp6jhpv7vpjdwwnsrvej,VOTE_OPTION_YES,117005131530,117005131530,1,10562840
Cosmic Validator,,,cosmosvaloper1de7qx00pz2j6gn9k88ntxxylelkazfk3g8fgh9,cosmos1de7qx00pz2j6gn9k88ntxxylelkazfk3dnaamk,VOTE_OPTION_NO,114020043517,114042850910,0.9998000103,10562840
"Frens (🤝,🤝)",,,cosmosvaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wxxp9gd,cosmos1ej2es5fjztqjcd4pwa0zyvaevtjd2y5wrj4sy7,VOTE_OPTION_YES,112720128954,112720128954,1,10562840
Coinbase Cloud,yes,,cosmosvaloper1crqm3598z6qmyn2kkcl9dz7uqs4qdqnr6s8jdn,cosmos1crqm3598z6qmyn2kkcl9dz7uqs4qdqnrlyn8pq,VOTE_OPTION_ABSTAIN,111654952165,111666118443,0.999900003,10562840
Chill Validation,,,cosmosvaloper1sdz4rc95vnzh2f54sacec50vjxnmwdakfym4vh,cosmos1sdz4rc95vnzh2f54sacec50vjxnmwdakvs0qqy,VOTE_OPTION_NO,107682041826,107682041826,1,10562840
Blocks United | blocksunited.com,,,cosmosvaloper1jmykcq8gylmy5tgqtel4xj4q62fdt49sl584xd,cosmos1jmykcq8gylmy5tgqtel4xj4q62fdt49s6qnq27,VOTE_OPTION_NO,104411998439,104422439216,0.9999000141,10562840
Stakely.io,,,cosmosvaloper16yupepagywvlk7uhpfchtwa0stu5f8cyhh54f2,cosmos16yupepagywvlk7uhpfchtwa0stu5f8cyjrqq9e,VOTE_OPTION_ABSTAIN,102689787810,102689787810,1,10562840
zoomerlabs,,,cosmosvaloper1urxrvt5dmkqpe50gwrerjly2z6nvk9exjz2j3h,cosmos1urxrvt5dmkqpe50gwrerjly2z6nvk9exhk78ay,VOTE_NIL,101652020233,101662186446,0.9999000001,10562840
hongkong-chain,,Inactive,cosmosvaloper1hvsdf03tl6w5pnfvfv5g8uphjd4wfw2h4gvnl7,cosmos1hvsdf03tl6w5pnfvfv5g8uphjd4wfw2hsucxnd,,100266050230,100286106019,0.9998000143,10562840
DappPub,,JAILED,cosmosvaloper1wauge4px27c257nfn4k3329wteddqw7gs3n66u,cosmos1wauge4px27c257nfn4k3329wteddqw7g4980k0,,100010569562,100020571545,0.9999000007,10562840
ChainUp,,,cosmosvaloper13maqgtlklmereflvg3lq3e8zrp0jsqhr8ef3kk,cosmos13maqgtlklmereflvg3lq3e8zrp0jsqhrzday69,VOTE_NIL,99961966864,99961966864,1,10562840
CryptoCrew Validators ✅,,,cosmosvaloper14qazscc80zgzx3m0m0aa30ths0p9hg8vdglqrc,cosmos14qazscc80zgzx3m0m0aa30ths0p9hg8vgut40t,VOTE_OPTION_NO,93530938371,93530938371,1,10562840
0% Fee 🌻 Sunflower,,,cosmosvaloper1r2dthxctqzhwg299e7aaeqwfkgcc9hg8k3yd7m,cosmos1r2dthxctqzhwg299e7aaeqwfkgcc9hg8n9scjg,VOTE_NIL,93120389259,93120389259,1,10562840
Terra Nodes,,,cosmosvaloper1v69lzl909kje64k8vae24uytpxcnpxgullz2dx,cosmos1v69lzl909kje64k8vae24uytpxcnpxgu6tklp4,VOTE_OPTION_NO,89418458908,89427401615,0.9999000004,10562840
Newroad Network,,,cosmosvaloper1wp9jne5t3e4au7u8gfep90g59j0qdhpeqvlg7n,cosmos1wp9jne5t3e4au7u8gfep90g59j0qdhpe9ctajq,VOTE_NIL,88785733368,88785733368,1,10562840
Any Labs,,,cosmosvaloper1648ynlpdw7fqa2axt0w2yp3fk542junl7rsvq6,cosmos1648ynlpdw7fqa2axt0w2yp3fk542junlmhyevf,VOTE_NIL,87715526460,87750621232,0.9996000624,10562840
NASDAQ-BTCS,,100% commission VC  US public company,cosmosvaloper1tk2xujvwtn0q60u8xelh50u9xzqvrnpk4d00qj,cosmos1tk2xujvwtn0q60u8xelh50u9xzqvrnpksem6vp,VOTE_NIL,84783700165,84817620253,0.9996000821,10562840
🤑 uGaenn ⛅,,,cosmosvaloper1wlpz5hau2ezu0gmuxav63m53d8s77az9wfzlt6,cosmos1wlpz5hau2ezu0gmuxav63m53d8s77az9tak28f,VOTE_OPTION_NO,83174314449,83174314449,1,10562840
Just-Mining,,French Investment Company https://just-mining.com/,cosmosvaloper1wrx0x9m9ykdhw9sg04v7uljme53wuj03aa5d4f,cosmos1wrx0x9m9ykdhw9sg04v7uljme53wuj03cfqce6,VOTE_NIL,82021854245,82071081789,0.9994001841,10562840
lunamint,,,cosmosvaloper1ec3p6a75mqwkv33zt543n6cnxqwun37rr5xlqv,cosmos1ec3p6a75mqwkv33zt543n6cnxqwun37rxqj2vl,VOTE_OPTION_NO,78014096924,78014096924,1,10562840
tbonestake,,,cosmosvaloper1ed5a27kfyu0yljmna00vtr8mgzp6rwh9zn77zz,cosmos1ed5a27kfyu0yljmna00vtr8mgzp6rwh9882tw3,VOTE_NIL,76825368982,76825368982,1,10562840
Virtual Hive®️,,,cosmosvaloper1zc0z44e42qhzltqc8qpj5qrzn836d3lftnqmgw,cosmos1zc0z44e42qhzltqc8qpj5qrzn836d3lfw85wya,VOTE_OPTION_YES,76671010798,76671010798,1,10562840
MANTRA DAO,,,cosmosvaloper103agss48504gkk3la5xcg5kxplaf6ttnuv234h,cosmos103agss48504gkk3la5xcg5kxplaf6ttnec7yey,VOTE_NIL,75710424151,75710424151,1,10562840
Plural,,Will close validator,cosmosvaloper1uyccnks6gn6g62fqmahf8eafkedq6xq400rjxr,cosmos1uyccnks6gn6g62fqmahf8eafkedq6xq42mh82s,VOTE_OPTION_YES,73769514195,73769514195,1,10562840
Validating Chaos - 🌌🖤 NFTs to delegators,,,cosmosvaloper1kg99k8wd67r0ffxwavgnxup7yk46rvttxc53j7,cosmos1kg99k8wd67r0ffxwavgnxup7yk46rvttrvqy7d,VOTE_NIL,72875644621,72882932716,0.9999000027,10562840
Dawns.world,,Inactive,cosmosvaloper1ktecz4dr56j9tsfh7nwg8s9suvhfu70qykhu5s,cosmos1ktecz4dr56j9tsfh7nwg8s9suvhfu70qpzrfcr,,70967425687,70988718635,0.9997000517,10562840
StarCluster,,JAILED,cosmosvaloper1ttfytaf43nkytzp8hkfjfgjc693ky4t3y2n2ku,cosmos1ttfytaf43nkytzp8hkfjfgjc693ky4t3p78l60,,68016609086,68077854189,0.9991003667,10562840
Blockscale,,Inactive,cosmosvaloper1s7jnk7t6yqzensdgpvkvkag022udk842qdjdtd,cosmos1s7jnk7t6yqzensdgpvkvkag022udk8429exc87,,59759258324,59824896358,0.9989028308,10562840
Tavis Digital,,Inactive - Swiss Asset Manager,cosmosvaloper10f9wkd6vdspac05djyfwfx0uxcqxapnqhnkcg8,cosmos10f9wkd6vdspac05djyfwfx0uxcqxapnqj8zdy5,,54074766622,54074766622,1,10562840
polkachu.com,,,cosmosvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pqeemx8,cosmos1gp957czryfgyvxwn3tfnyy2f0t9g2p4p9ddw25,VOTE_OPTION_YES,51667449941,51667449941,1,10562840
stake.systems,,,cosmosvaloper1ualhu3fjgg77g485gmyswkq3w0dp7gys6qzwrv,cosmos1ualhu3fjgg77g485gmyswkq3w0dp7gysl5km0l,VOTE_OPTION_NO,50642419584,50642419584,1,10562840
PUPMØS,,,cosmosvaloper1vygmh344ldv9qefss9ek7ggsnxparljlmj56q5,cosmos1vygmh344ldv9qefss9ek7ggsnxparljl7xq0v8,VOTE_OPTION_YES,48667449156,48667449156,1,10562840
DSRV,,Inactive,cosmosvaloper1wlagucxdxvsmvj6330864x8q3vxz4x02rmvmsu,cosmos1wlagucxdxvsmvj6330864x8q3vxz4x02x0cwu0,,45481438616,45481438616,1,10562840
1% Fee+Auto-compound 🥇 TienThuatToan Capital,,,cosmosvaloper13ql36flc4cdjhx08hke5vpr4dyv03aafnmvtnc,cosmos13ql36flc4cdjhx08hke5vpr4dyv03aafk0c7lt,VOTE_OPTION_YES,43515264468,43515264468,1,10562840
tokenweb,,JAILED,cosmosvaloper1kgquh04ffqvadekf6e47070gskm0s0h28cl7ht,cosmos1kgquh04ffqvadekf6e47070gskm0s0h2zvttmc,,43501028103,43666653901,0.9962070417,10562840
Klub Staking,,,cosmosvaloper1wqy2s6nwnxj57l0l5rdjxxr646p3al6y70435m,cosmos1wqy2s6nwnxj57l0l5rdjxxr646p3al6ymmpycg,VOTE_OPTION_NO,43337137721,43337137721,1,10562840
Moonlet,,,cosmosvaloper1yfnaup5wa3vdzx3wx9auhvzl85saqj37tqxqnu,cosmos1yfnaup5wa3vdzx3wx9auhvzl85saqj37w5j4l0,VOTE_NIL,38155119728,38155119728,1,10562840
danku_zone w/ DAIC,,,cosmosvaloper140e7u946a2nqqkvcnjpjm83d0ynsqem8dnp684,cosmos140e7u946a2nqqkvcnjpjm83d0ynsqem8g840tx,VOTE_OPTION_YES,36509289287,36509289287,1,10562840
🧊 IcyCRO.org | Win 20k+ CRO,,,cosmosvaloper1ukpah0340rx7k3x2njnavwyjv6pfpvn632df9q,cosmos1ukpah0340rx7k3x2njnavwyjv6pfpvn657eufn,VOTE_OPTION_NO,36256045248,36256045248,1,10562840
airdropdao,,Inactive,cosmosvaloper1kqld7f3tu3ha5ht3qv2rq9ac9683d3xf356rc9,cosmos1kqld7f3tu3ha5ht3qv2rq9ac9683d3xf5qwk5k,,36186697580,36186697580,1,10562840
Foundry USA,,Inactive,cosmosvaloper1awguwfrm22sh7yewkywrjujukc75a3r3tpwfyp,cosmos1awguwfrm22sh7yewkywrjujukc75a3r3w46ugj,,35460253082,35460253082,1,10562840
Tessellated Geometry,,Inactive,cosmosvaloper1fun809ksxh87nzf88yashp9ynjz6xkscrtvzvw,cosmos1fun809ksxh87nzf88yashp9ynjz6xkscxlchqa,,34231454654,34234878108,0.999900001,10562840
securesecrets,,Inactive,cosmosvaloper15ytx6mflyrxynjerqlud6w646v6u3qvtjtfane,cosmos15ytx6mflyrxynjerqlud6w646v6u3qvthlagl2,,33752306313,33752306313,1,10562840
Firmamint,,JAILED,cosmosvaloper19kwwdw0j64xhrmgkz49l0lmu5uyujjayxakwsn,cosmos19kwwdw0j64xhrmgkz49l0lmu5uyujjayrfzmuq,,33303862237,33303862237,1,10562840
Dominator,,Inactive,cosmosvaloper1slt7tkd7srlaxnt8vk6uff7j3mc7pk233rs0r5,cosmos1slt7tkd7srlaxnt8vk6uff7j3mc7pk235hy608,,33050901530,33064125058,0.9996000642,10562840
SIGN Capital,,JAILED,cosmosvaloper1r50v53ua3mgfczlgf6jclycx2edcsaaftfjzs6,cosmos1r50v53ua3mgfczlgf6jclycx2edcsaafwaxhuf,,33043390407,33050000002,0.9998000123,10562840
Certify Network,,JAILED,cosmosvaloper15jlcxs57cku65nrve3hfjlmcr8kaavxcn30mz2,cosmos15jlcxs57cku65nrve3hfjlmcr8kaavxck9mwwe,,32997900413,33001200518,0.9999000005,10562840
SNZPool,,Inactive,cosmosvaloper1s6x9fy4wc49wj9jx4jv6czredqsmp46h7vnk2q,cosmos1s6x9fy4wc49wj9jx4jv6czredqsmp46hmc8rxn,,32799806391,32799806391,1,10562840
Cosmos Spaces ☮️ 💜 ⚛️,,,cosmosvaloper13p5ckpmc9g2v8ez5qsxs00wadqvcc7q0qheh26,cosmos13p5ckpmc9g2v8ez5qsxs00wadqvcc7q09rdzxf,VOTE_OPTION_NO,32754548588,32754548588,1,10562840
Ledger,,https://www.ledger.com/staking-cosmos,cosmosvaloper10wljxpl03053h9690apmyeakly3ylhejrucvtm,cosmos10wljxpl03053h9690apmyeakly3ylhejxgve8g,VOTE_NIL,31524961939,31524961939,1,10562840
Sunshine Validation #solarpower,,JAILED,cosmosvaloper1cv6hnl6sq4srccnzveqe8ggc2tepvvx45vwcwz,cosmos1cv6hnl6sq4srccnzveqe8ggc2tepvvx43c6dz3,,30070858218,30070858218,1,10562840
ITA Stakers,,,cosmosvaloper1usvshtypjw57edkwxq3tagme665398f0hf4wuc,cosmos1usvshtypjw57edkwxq3tagme665398f0japmst,VOTE_OPTION_NO,29340220496,29340220496,1,10562840
Nodeasy.com,,Inactive,cosmosvaloper1mykn77lkynl8fkwvl9tqg369u0zajzzcdhkptq,cosmos1mykn77lkynl8fkwvl9tqg369u0zajzzcgrz58n,,26991086771,26993786138,0.9999000004,10562840
"Stake Frites (🥩 , 🍟)",,,cosmosvaloper1uepjmgfuk6rnd0djsglu88w7d0t49lmljdpae2,cosmos1uepjmgfuk6rnd0djsglu88w7d0t49lmlhe4g4e,VOTE_OPTION_NO,24420445665,24420445665,1,10562840
Valnodes - Carbon Neutral Staking,,Inactive,cosmosvaloper1ky5k0305lm4t4xa72a2g5ahfdzqxnwx358agra,cosmos1ky5k0305lm4t4xa72a2g5ahfdzqxnwx33nfa0w,,24332760911,24335194142,0.9999000119,10562840
Cryptium Labs,,JAILED,cosmosvaloper1kj0h4kn4z5xvedu2nd9c4a9a559wvpuvu0h6qn,cosmos1kj0h4kn4z5xvedu2nd9c4a9a559wvpuvemr0vq,,23792547545,23797306736,0.9998000114,10562840
High Stakes 🇨🇭,,,cosmosvaloper1yh089p0cre4nhpdqw35uzde5amg3qzexkeggdn,cosmos1yh089p0cre4nhpdqw35uzde5amg3qzexnduapq,VOTE_OPTION_NO,22592452926,22594711118,0.9999000566,10562840
Bison Trails,,JAILED,cosmosvaloper1uxh465053nq3at4dn0jywgwq3s9sme3la3drx6,cosmos1uxh465053nq3at4dn0jywgwq3s9sme3lc9ek2f,,18212291982,18212291982,1,10562840
Kraken,yes,JAILED,cosmosvaloper1nm0rrq86ucezaf8uj35pq9fpwr5r82clzyvtd8,cosmos1nm0rrq86ucezaf8uj35pq9fpwr5r82cl8sc7p5,,16568362670,16568362670,1,10562840
Numenor.one,,JAILED,cosmosvaloper1vh3mytf5mahtqkdzg76v6j6xtu7wks9dejqlhe,cosmos1vh3mytf5mahtqkdzg76v6j6xtu7wks9dux52m2,,15772907387,15772907387,1,10562840
in3s.com,,,cosmosvaloper1rcp29q3hpd246n6qak7jluqep4v006cdsc2kkl,cosmos1rcp29q3hpd246n6qak7jluqep4v006cd4v7r6v,VOTE_OPTION_NO,14068653382,14068653382,1,10562840
SSSnodes,,JAILED,cosmosvaloper1vrg6ruw00lhszl4sjgwt5ldvl8z0f7pfp5va85,cosmos1vrg6ruw00lhszl4sjgwt5ldvl8z0f7pfyqcgt8,,13765341174,13766717829,0.9999000012,10562840
Earn Stash,,Inactive,cosmosvaloper1w024sqzpvj5g57maxmvnlzellzwapwsv42360d,cosmos1w024sqzpvj5g57maxmvnlzellzwapwsvs790r7,,10941669930,10941669930,1,10562840
hoo.com,,JAILED,cosmosvaloper1l5rgg6k87m6x5hl50xg5q7t680d672z87gzd7a,cosmos1l5rgg6k87m6x5hl50xg5q7t680d672z8mukcjw,,10500087904,10501138004,0.9999000013,10562840
binance staking,yes,JAILED,cosmosvaloper18ruzecmqj9pv8ac0gvkgryuc7u004te9rh7w5s,cosmos18ruzecmqj9pv8ac0gvkgryuc7u004te9xr2mcr,,8338906232,8339740118,0.9999000106,10562840
Chemical Bros by Bites Digital,,Inactive,cosmosvaloper14ts0j42qkpr43a3tgxr7zz6l6zdf7hde8va8km,cosmos14ts0j42qkpr43a3tgxr7zz6l6zdf7hdezcfj6g,,5224200000,5224200000,1,10562840
真本聪&IOSG,,JAILED,cosmosvaloper1qdxmyqkvt8jsxpn5pp45a38ngs36mn2604cqk9,cosmos1qdxmyqkvt8jsxpn5pp45a38ngs36mn262pv46k,,5206066866,5206066866,1,10562840
noogra.nuts,,Inactive,cosmosvaloper13hule0xx8gvzjrgstqjct0kwygfh7kd03dr93f,cosmos13hule0xx8gvzjrgstqjct0kwygfh7kd05ehsa6,,2807414786,2807414786,1,10562840
stake2earn,,JAILED,cosmosvaloper1xhhquwctvwm40qn3nmmqq067pc2gw22eqkwgt0,cosmos1xhhquwctvwm40qn3nmmqq067pc2gw22e9z6a8u,,2725509880,2725509880,1,10562840
Knowable,,Inactive,cosmosvaloper174xdfjpucznezq4z8t3qv4hnk735xremdzntve,cosmos174xdfjpucznezq4z8t3qv4hnk735xremgk87q2,,2518999999,2518999999,1,10562840
Cobo,,JAILED,cosmosvaloper1pz0lfq40sa63n0wany3v95x3yvznc5gyf8u28w,cosmos1pz0lfq40sa63n0wany3v95x3yvznc5gyvnglta,,2291647040,2292563794,0.9996001184,10562840
BlueStake 🚀,,Inactive,cosmosvaloper12xx74t5sx3vgyew7es9h8e9py4ttts6zcg3vxk,cosmos12xx74t5sx3vgyew7es9h8e9py4ttts6zau9e29,,2043033576,2043033576,1,10562840
AirGap 🛡,,JAILED,cosmosvaloper1n3f5lm7xtlrp05z9ud2xk2cnvk2xnzkm2he6er,cosmos1n3f5lm7xtlrp05z9ud2xk2cnvk2xnzkm0rd04s,,1650016754,1650181755,0.9999000104,10562840
LikeCoin by Liker Land,,Inactive,cosmosvaloper1yat0v9mqt88m2x3uew0zrpzn7tjzas6eplz6s2,cosmos1yat0v9mqt88m2x3uew0zrpzn7tjzas6eytk0ue,,1474338003,1474338003,1,10562840
i-Crypto,,JAILED,cosmosvaloper1kug7dugqz6cwee3v2z34psyw2kd9788vda0n2s,cosmos1kug7dugqz6cwee3v2z34psyw2kd9788vgfmxxr,,1423999999,1423999999,1,10562840
Crypto Lion 🦁 (0% fee),,Inactive,cosmosvaloper16lhapna7nfm0j3pnwt7tn4lxtx3q7hs4sf66t8,cosmos16lhapna7nfm0j3pnwt7tn4lxtx3q7hs44aw085,,1172370338,1172370338,1,10562840
DeBank,,JAILED,cosmosvaloper1wd8vquxza6svsvvnh489tdvg9vdjjfpepcfvf9,cosmos1wd8vquxza6svsvvnh489tdvg9vdjjfpeyvae9k,,1017413119,1017514802,0.9999000676,10562840
BlockNgine 🛡️ Slash Protected,,Inactive,cosmosvaloper1gxgyhqagmvyg8sgwgpa79scrwqp4wn4hw4e3cl,cosmos1gxgyhqagmvyg8sgwgpa79scrwqp4wn4htpdy5v,,891621144,891621144,1,10562840
tokenpocket,,JAILED,cosmosvaloper1qtxec3ggeuwnca9mmngw7vf6ctw54cppey02fs,cosmos1qtxec3ggeuwnca9mmngw7vf6ctw54cppusml9r,,883350665,883435145.6,0.9999043726,10562840
Kleomedes,,Inactive,cosmosvaloper1sgcfa5z7dmhekhf79m040natu37unyuek54tp7,cosmos1sgcfa5z7dmhekhf79m040natu37unyuenqp7dd,,588463924,588463924,1,10562840
F4RM,,JAILED,cosmosvaloper14az9dmutwtz4vuycvae8csm4wwwtm0aumtlppe,cosmos14az9dmutwtz4vuycvae8csm4wwwtm0au7lt5d2,,480418988,480467031.6,0.9999000064,10562840
noma,,JAILED,cosmosvaloper1r8kyvg4me2upnvlk26n2ay0zd5t4jktna8hhxp,cosmos1r8kyvg4me2upnvlk26n2ay0zd5t4jktncnrz2j,,434343252,434343252,1,10562840
X-Stake,,JAILED,cosmosvaloper1zxphhzuweenrq3vvgsgj6g25axdpghtglg0veq,cosmos1zxphhzuweenrq3vvgsgj6g25axdpghtg6ume4n,,424802979,424845454.8,0.9999000207,10562840
EcoStake.net 🌳 We donate 1/3 of all revenue.,,Inactive,cosmosvaloper1y3aaqvxn6hyqh05ektsy0zrymvne3qcq6mffu0,cosmos1y3aaqvxn6hyqh05ektsy0zrymvne3qcql0ausu,,419033739,419033739,1,10562840
Dont Use,,JAILED,cosmosvaloper1vk706z2tfnqhdg6jrkngyx7f463jq58nj0x7p7,cosmos1vk706z2tfnqhdg6jrkngyx7f463jq58nhmjtdd,,390217760,410755293.8,0.950000562,10562840
CosmosLink,,JAILED,cosmosvaloper1l9fwl9c77zx850htsr20pq3ltc379xt86ndelm,cosmos1l9fwl9c77zx850htsr20pq3ltc379xt8l8evng,,307795477,307826255.1,0.9999000146,10562840
cephalopod equipment coop,,JAILED,cosmosvaloper1fghgwhgtxtcshj4a9alp7u2qv6n2wffqhpxcnk,cosmos1fghgwhgtxtcshj4a9alp7u2qv6n2wffqj4jdl9,,281161932,281161932,1,10562840
BlockPool,,JAILED,cosmosvaloper16v3f95amtvpewuajjcdsvaekuuy4yyzups85ec,cosmos16v3f95amtvpewuajjcdsvaekuuy4yyzuyynp4t,,231545459,231568614.7,0.9999000048,10562840
Unstake as we will shut down,,Inactive - closing validator,cosmosvaloper1q9p73lx07tjqc34vs8jrsu5pg3q4ha534uqv4w,cosmos1q9p73lx07tjqc34vs8jrsu5pg3q4ha53sg5eea,,216009560,216009560,1,10562840
HLT,,Inactive,cosmosvaloper1998928nfs697ep5d825y5jah0nq9zrtd00yyj7,cosmos1998928nfs697ep5d825y5jah0nq9zrtd2ms37d,,214104045,214361133.5,0.998800676,10562840
NosNode⚛️,,Inactive,cosmosvaloper10jm8fvdyqlj78w0j5nawc76wsn4pqmdxl683c7,cosmos10jm8fvdyqlj78w0j5nawc76wsn4pqmdx6wny5d,,179329321,179329321,1,10562840
OneSixtyTwo,,JAILED,cosmosvaloper1pgsjyvkg3y2m7qas534zzdhsqsxqyph2jh3uck,cosmos1pgsjyvkg3y2m7qas534zzdhsqsxqyph2hr9f59,,172046964,172098580.4,0.9997000766,10562840
Please Redelegate,,JAILED,cosmosvaloper1jknayw5aejl5l2lctpxw8uy7x0xmc5vmu4q2zr,cosmos1jknayw5aejl5l2lctpxw8uy7x0xmc5vmep5lws,,149549144,149549144,1,10562840
1ED471CB34E3,,JAILED,cosmosvaloper1fypv7c7z3auv7w48qn76538w55jdk66xt5a3lk,cosmos1fypv7c7z3auv7w48qn76538w55jdk66xwqfyn9,,148923983,148923983,1,10562840
Laomedeia,,JAILED,cosmosvaloper12r4rsw7s2vnccwealt5zu0kukdxgwamyltmrud,cosmos12r4rsw7s2vnccwealt5zu0kukdxgwamy6l0ks7,,139986000,140000000,0.9999,10562840
Active Nodes,,Inactive,cosmosvaloper1dzv2cfhynf9xqgz9xae4y94ychxy4gus6rhw8u,cosmos1dzv2cfhynf9xqgz9xae4y94ychxy4guslhrmt0,,130000000,130000000,1,10562840
Fenbushi US - Staked,,JAILED,cosmosvaloper1m83cwjucw9nt8xm66u8xavvy6v9m7xfspcszc5,cosmos1m83cwjucw9nt8xm66u8xavvy6v9m7xfsyvyh58,,103233749,103233749,1,10562840
darkqueen,,JAILED,cosmosvaloper1f63lrmnn4upu722kxdhw04taxa6w50lnar88dx,cosmos1f63lrmnn4upu722kxdhw04taxa6w50lnchnjp4,,100990003,101000101,0.9999000198,10562840
RockX,,JAILED,cosmosvaloper13ce7hhqa0z3tpc2l7jm0lcvwe073hdkkpp2nst,cosmos13ce7hhqa0z3tpc2l7jm0lcvwe073hdkky47xuc,,100347732,100347732,1,10562840
HelloPool,,JAILED,cosmosvaloper1unap36cmuaxsmgtshm893hjkneta5vp6udzc0j,cosmos1unap36cmuaxsmgtshm893hjkneta5vp6eekdrp,,99990000,100000000,0.9999,10562840
Wolf 1,,JAILED,cosmosvaloper1v6fqxzhzvvjgqmcreffvvvazvws46pwcvyaw4x,cosmos1v6fqxzhzvvjgqmcreffvvvazvws46pwcfsfme4,,83557547,83557547,1,10562840
omega3,,JAILED,cosmosvaloper1s6t3wzx6mcv3pjg5fp2ddzplm3gj4pg6d330wg,cosmos1s6t3wzx6mcv3pjg5fp2ddzplm3gj4pg6g996zm,,64958471,64958471,1,10562840
piggy-coin.com 🐷,,JAILED,cosmosvaloper1zp6kg7qlmztyw2km2af4z5ruz5vn04cp9npe79,cosmos1zp6kg7qlmztyw2km2af4z5ruz5vn04cpq84vjk,,60341862,60353924.27,0.9998001411,10562840
Cosmos-Validator.com,,JAILED,cosmosvaloper1tpxs9gf9gg74mdu7ya4gxhr5560jsxnp4zq979,cosmos1tpxs9gf9gg74mdu7ya4gxhr5560jsxnpsk5sjk,,56944987,56956366.49,0.9998002069,10562840
Anonstake,,JAILED,cosmosvaloper1vjn3559ncztu87qj8v4ryasgny7vjfx7jhxzu6,cosmos1vjn3559ncztu87qj8v4ryasgny7vjfx7hrjhsf,,55452147,55463235.1,0.999800082,10562840
